Metadaten (Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraum bezogen,Geschlecht,,,,,,,,,,,,,,
Metadaten (Werte),Bestandsdaten,Bundesländer,Jahr,2000-2018,weiblich,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DE1,5367007,5402850,5431086,5445272,5457236,5464795,5464911,5466966,5463612,5458975,5457631,5361087,5379636,5400572,5432421,5486230,5516228,5546084,5567840
DE2,6255972,6299952,6326663,6344377,6355088,6366071,6373681,6383935,6381627,6374327,6380257,6349961,6375591,6407093,6441603,6491342,6529931,6558701,6592928
DE3,1738635,1740265,1740954,1737274,1734771,1735546,1738284,1744029,1751173,1756419,1765287,1708234,1730771,1752038,1773631,1793498,1819130,1837228,1852025
DE4,1318530,1312548,1306234,1301523,1297357,1292551,1286122,1279755,1273181,1267424,1262720,1245991,1244151,1243753,1247398,1256543,1262965,1268069,1272457
DE5,341958,341264,342158,342314,342007,341989,341676,341178,340052,339489,338766,335122,335709,336203,337465,340594,343279,344367,344951
DE6,884167,888637,889800,891496,891250,894160,898050,904770,906179,907601,912736,886123,893026,898396,905345,914346,924149,933377,939131
DE7,3094637,3099994,3107053,3107917,3111222,3109204,3102355,3099909,3094506,3091175,3090494,3066143,3073447,3082826,3102136,3128442,3146131,3161626,3172765
DE8,898005,889648,880765,873977,867510,861049,854201,846937,839232,833097,829044,815264,812223,810174,811193,814530,815207,816246,816036
DE9,4050197,4063108,4073516,4078202,4081534,4075988,4067900,4060139,4046192,4034188,4024532,3970369,3967993,3968682,3980650,4011201,4022289,4030899,4039205
DEA,9253209,9269740,9277682,9276568,9272097,9260917,9241400,9221824,9186645,9153069,9133296,9019560,9014270,9012888,9032095,9097497,9113340,9124555,9134020
DEB,2057743,2063389,2066396,2069555,2069130,2068595,2065307,2060955,2051320,2042010,2036639,2038409,2036117,2035389,2041047,2053470,2059550,2062556,2067268
DEC,550475,549038,547887,545735,542957,539934,535947,532519,529139,524980,522361,513251,510729,508284,506436,506966,507235,506292,504350
DED,2280905,2257469,2236562,2218669,2204463,2190514,2176019,2159396,2143628,2129281,2117847,2076004,2071700,2067221,2067667,2073290,2071792,2071094,2068318
DEE,1344116,1324898,1307079,1292420,1277547,1263996,1248314,1232520,1216189,1202470,1190888,1164026,1154497,1145944,1139751,1138781,1133798,1128205,1121642
DEF,1426144,1433623,1440137,1443464,1446229,1447665,1447484,1448435,1446462,1444978,1445347,1439875,1440577,1443924,1449413,1459256,1469261,1473286,1477255
DEG,1241304,1229210,1217829,1206894,1196824,1185060,1172089,1160278,1148936,1139168,1131332,1108534,1102333,1097153,1093829,1095575,1090250,1086201,1082331
