metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,,,,,
metadata values,movement,year,2011,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2011,insgesamt,,,,,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,37510,7669,2087,804,3315,16472,1220,7265,17774,14469,1752,5077,1957,2817,2554
DE2,34146,.,8338,2434,811,3438,14291,1185,7271,16766,4796,896,7918,2371,3053,4958
DE3,5531,6960,.,26289,724,2668,3703,3017,5301,8108,1443,307,3583,2243,2407,1303
DE4,2606,2884,23844,.,271,1117,1389,3481,2940,3134,698,110,5036,2276,1409,1104
DE5,1020,1064,1035,189,.,1565,804,302,12932,2425,287,50,322,197,919,152
DE6,2565,2985,3633,712,1078,.,1959,2234,12691,4778,699,121,778,555,23414,355
DE7,16172,15124,5120,1244,742,2749,.,786,8426,18246,14544,998,2748,1401,2467,3291
DE8,1427,1591,4146,2934,409,3888,928,.,3641,2543,492,69,1733,958,4922,647
DE9,8514,9125,7030,2527,13127,13401,8861,3112,.,33293,3143,552,3443,5873,9373,2444
DEA,19800,20708,11695,2929,2456,7322,19889,2472,32428,.,17016,1670,4623,2933,6606,2401
DEB,14851,5831,2019,656,343,879,15782,419,3020,17942,.,4411,1226,610,1160,781
DEC,2255,1358,526,118,74,167,1283,56,539,1955,4518,.,310,96,203,142
DED,6236,9593,5504,4027,365,1208,3323,1538,3352,5154,1318,192,.,4922,1245,4937
DEE,2627,3621,3397,2423,278,912,1922,1282,7343,3721,769,134,7118,.,969,3172
DEF,2796,3150,2788,1136,1038,19190,2156,4147,9171,5981,928,153,999,842,.,557
DEG,3250,6531,2184,998,179,599,4255,727,3064,3196,878,168,6411,2699,595,.
