metadata keys,type,timeunit,time,﻿Metadaten(Kategorien),Inhalt,Bezugsraum,Zeitraum,Zeitraumbezogen,Geschlecht,,,,,,,
metadata values,movement,year,2002,Metadaten(Werte),Binnenwanderungen,Bundesländer,Jahr,2002,insgesamt,,,,,,,
,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG
DE1,.,29294,6130,1883,812,2479,14154,1067,7082,15611,12754,1531,4394,1841,2706,2011
DE2,29875,.,6823,2137,816,2747,11974,1114,7185,15675,4958,946,6869,2394,2802,4154
DE3,6682,7770,.,33302,619,2278,3763,2680,5644,8226,1547,354,2543,1697,2582,1059
DE4,6054,5772,23595,.,383,1404,2398,2920,4495,5373,1383,185,3560,2104,1988,965
DE5,833,745,737,143,.,993,667,263,13759,1878,214,46,175,134,702,86
DE6,2271,2419,3058,548,842,.,1879,1827,12375,4107,496,99,474,336,21855,236
DE7,15047,14071,4066,940,748,2200,.,628,8262,16355,14136,823,2223,1114,2286,2885
DE8,2531,2363,3840,2485,666,5579,1174,.,5503,3452,718,104,1198,829,7463,551
DE9,19126,20335,8175,5548,13613,13425,13683,5162,.,47954,7215,1582,8060,8586,11145,4921
DEA,18445,17801,9939,2719,1895,5509,16968,2072,29939,.,17855,1503,3863,2656,6589,2176
DEB,12652,5159,1551,543,284,700,12122,356,2940,15808,.,3660,991,585,1039,681
DEC,1988,1038,402,84,102,201,1040,52,478,1761,3899,.,162,73,183,91
DED,13014,17085,4016,3376,332,1060,4821,1285,3959,7729,2422,295,.,3492,1065,3768
DEE,5829,6635,3035,2248,377,834,2918,1221,10575,6411,1472,170,4860,.,1188,2590
DEF,3031,2889,2655,877,863,18144,2037,4137,8243,5604,1025,168,677,600,.,328
DEG,5647,8470,1674,866,200,421,5365,657,3239,3971,1428,150,4266,2084,633,.
